[2025-12-14 03:39:21] [INFO    ] discord.client: logging in using static token
[2025-12-14 03:39:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Bankmester Elias', 'primary_guild': None, 'mfa_enabled': False, 'id': '1449418966245183568', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3237', 'clan': None, 'bot': True, 'avatar': 'c00abca3b89be341120c842d7dcf0832'}, 'session_type': 'normal', 'session_id': '56b28b0d97bc37cc894e1a5ac34eef43', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1449417404068270323'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['stockholm', 'frankfurt', 'rotterdam', 'warsaw', 'london'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1449418966245183568', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-c-n0th",{"micros":149775,"calls":["id_created",{"micros":1152,"calls":[]},"session_lookup_time",{"micros":345,"calls":[]},"session_lookup_finished",{"micros":20,"calls":[]},"discord-sessions-prd-2-83",{"micros":147975,"calls":["start_session",{"micros":128807,"calls":["discord-api-rpc-765f55cc87-2wk66",{"micros":89196,"calls":["get_user",{"micros":5989},"get_guilds",{"micros":5911},"send_scheduled_deletion_message",{"micros":19},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":552},"apex_experiments",{"micros":31879},"user_activities",{"micros":7},"played_application_ids",{"micros":3},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":32,"calls":[]},"presence_started",{"micros":8495,"calls":[]},"guilds_started",{"micros":79,"calls":[]},"lobbies_started",{"micros":12,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":10527,"calls":[]},"connect_finished",{"micros":10535,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-12-14 03:39:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-14 03:39:22] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 56b28b0d97bc37cc894e1a5ac34eef43).
[2025-12-14 03:39:22] [DEBUG   ] discord.client: Dispatching event connect
[2025-12-14 03:39:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'nsfw': False, 'stage_instances': [], 'premium_features': None, 'lazy': True, 'banner': None, 'afk_timeout': 300, 'afk_channel_id': None, 'profile': None, 'latest_onboarding_question_id': None, 'max_members': 25000000, 'region': 'deprecated', 'hub_type': None, 'premium_progress_bar_enabled': False, 'large': False, 'nsfw_level': 0, 'owner_configured_content_level': 0, 'id': '1449417404068270323', 'stickers': [], 'unavailable': False, 'name': "SilasDuus's Test erver", 'application_id': None, 'soundboard_sounds': [], 'channels': [{'version': 1765638438441, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1449417405788065995', 'flags': 0}, {'version': 1765638438455, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1449417405788065996', 'flags': 0}, {'version': 1765638438498, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1449417405788065995', 'name': 'general', 'last_message_id': '1449591363527245977', 'id': '1449417405788065997', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1765638438549, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1449417405788065996', 'name': 'General', 'last_message_id': None, 'id': '1449417405788065998', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1765676952118, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1449417405788065995', 'nsfw': False, 'name': 'elias-billeder', 'last_message_id': '1449579454887362634', 'id': '1449578943945642035', 'flags': 0}], 'activity_instances': [], 'max_stage_video_channel_users': 50, 'roles': [{'version': 1765638438389, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1449417404068270323', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1765639237136, 'unicode_emoji': None, 'tags': {'bot_id': '1449418966245183568'}, 'position': 1, 'permissions': '563276639759424', 'name': 'Money Bot', 'mentionable': False, 'managed': True, 'id': '1449420755560435826', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'home_header': None, 'incidents_data': None, 'threads': [], 'voice_states': [], 'emojis': [{'version': 1765677257062, 'roles': [], 'require_colons': True, 'name': 'Screenshot20241114192918', 'managed': False, 'id': '1449580222734270595', 'available': True, 'animated': False}, {'version': 1765677288621, 'roles': [], 'require_colons': True, 'name': 'Screenshot20250313211201', 'managed': False, 'id': '1449580354892464251', 'available': True, 'animated': False}, {'version': 1765677310824, 'roles': [], 'require_colons': True, 'name': 'Screenshot20250605001851', 'managed': False, 'id': '1449580448085966970', 'available': True, 'animated': False}, {'version': 1765677364400, 'roles': [], 'require_colons': True, 'name': 'Screenshot20250816222905', 'managed': False, 'id': '1449580672669847604', 'available': True, 'animated': False}, {'version': 1765677493992, 'roles': [], 'require_colons': True, 'name': 'Screenshot20250618210428', 'managed': False, 'id': '1449581215706517586', 'available': True, 'animated': False}, {'version': 1765677515530, 'roles': [], 'require_colons': True, 'name': 'Screenshot20250323165648', 'managed': False, 'id': '1449581306798411847', 'available': True, 'animated': False}], 'members': [{'user': {'username': 'Bankmester Elias', 'public_flags': 0, 'primary_guild': None, 'id': '1449418966245183568', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3237', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c00abca3b89be341120c842d7dcf0832'}, 'roles': ['1449420755560435826'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T15:20:37.196486+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'preferred_locale': 'en-US', 'max_video_channel_users': 25, 'description': None, 'presences': [], 'icon': None, 'verification_level': 0, 'embedded_activities': [], 'member_count': 5, 'public_updates_channel_id': None, 'system_channel_id': '1449417405788065997', 'rules_channel_id': None, 'joined_at': '2025-12-13T15:20:37.196486+00:00', 'safety_alerts_channel_id': None, 'premium_subscription_count': 0, 'owner_id': '697118640129966103', 'inventory_settings': None, 'explicit_content_filter': 0, 'splash': None, 'default_message_notifications': 0, 'version': 1765676288005, 'mfa_level': 0, 'discovery_splash': None, 'application_command_counts': {}, 'features': [], 'premium_tier': 0, 'system_channel_flags': 0, 'vanity_url_code': None, 'guild_scheduled_events': [], 'moderator_reporting': None}}
[2025-12-14 03:39:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-14 03:39:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '0072680e664ef3d66feb8ef57829d49c', 'members': [{'user': {'username': 'zzcorpi0', 'public_flags': 128, 'primary_guild': {'tag': 'YUGO', 'identity_guild_id': '264508089686949888', 'identity_enabled': True, 'badge': '2d9908aeb26b0c8d246dbd97f8258a72'}, 'id': '381185336228970496', 'global_name': 'ZZcorpi0', 'display_name_styles': None, 'display_name': 'ZZcorpi0', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1440174638930853958', 'expires_at': 1768507200, 'asset': 'a_23c2c404b0e73ac40e74e304d2471ed2'}, 'avatar': '1e0bf4d8120bd5c83a5dfd5c852bfc74'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T22:50:38.529429+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'jojo_superham', 'public_flags': 0, 'primary_guild': None, 'id': '558204317572792322', 'global_name': 'SuperHam', 'display_name_styles': None, 'display_name': 'SuperHam', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6484e0319957cb6808f4d78975693d64'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T22:29:53.128748+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'silasduus', 'public_flags': 0, 'primary_guild': None, 'id': '697118640129966103', 'global_name': 'SilasDuus', 'display_name_styles': None, 'display_name': 'SilasDuus', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1440174638930853950', 'expires_at': 1768507200, 'asset': 'a_82442053e3da77f379586817b2709365'}, 'avatar': 'a120459d37b8907fd9da6bc9c9c0e906'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T15:07:18.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'lillebist', 'public_flags': 0, 'primary_guild': {'tag': 'lil', 'identity_guild_id': '313883312173219840', 'identity_enabled': True, 'badge': 'e9eebc59f8cbb87d52e352e4fc1fd10d'}, 'id': '699342992942825524', 'global_name': 'Lillebist', 'display_name_styles': None, 'display_name': 'Lillebist', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1440174638930853953', 'expires_at': 1768507200, 'asset': 'a_f507d774257b88d47b3531e8afa46259'}, 'avatar': '96a023f4f83d4e3929ac9600c2abf67f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-14T01:27:45.771870+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Bankmester Elias', 'public_flags': 0, 'primary_guild': None, 'id': '1449418966245183568', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3237', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c00abca3b89be341120c842d7dcf0832'}, 'roles': ['1449420755560435826'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T15:20:37.196486+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1449417404068270323', 'chunk_index': 0, 'chunk_count': 1}}
[2025-12-14 03:39:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-14 03:39:22] [DEBUG   ] discord.state: Processed a chunk for 5 members in guild ID 1449417404068270323.
[2025-12-14 03:39:24] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-12-14 03:39:24] [DEBUG   ] discord.client: Dispatching event ready
